Species,Assembly name,Species_Tree,Taxonomic Lineage
Myotis_lucifugus,HLmyoLuc1,Myotis_lucifugus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis
Myotis_lucifugus,myoLuc2,Myotis_lucifugus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis
Myotis_myotis,HLmyoMyo6,Myotis_myotis,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Vespertilionidae; Myotis
Myrmecophaga_tridactyla,HLmyrTri1,Myrmecophaga_tridactyla,Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Vermilingua; Myrmecophagidae; Myrmecophaga
Nannospalax_galili,nanGal1,Nannospalax_galili,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Spalacinae; Nannospalax
Nasalis_larvatus,nasLar1,Nasalis_larvatus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Nasalis
Neomonachus_schauinslandi,neoSch1,Neomonachus_schauinslandi,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Phocidae; Neomonachus
Neophocaena_asiaeorientalis_asiaeorientalis,HLneoAsi1,Neophocaena_asiaeorientalis,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Neophocaena; Neophocaena asiaeorientalis
Noctilio_leporinus,HLnocLep1,Noctilio_leporinus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Noctilionidae; Noctilio
Nomascus_leucogenys,HLnomLeu4,Nomascus_leucogenys,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus
Nycticebus_coucang,HLnycCou1,Nycticebus_coucang,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lorisiformes; Lorisidae; Nycticebus
Ochotona_princeps,ochPri3,Ochotona_princeps,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Ochotonidae; Ochotona
Octodon_degus,octDeg1,Octodon_degus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Octodontidae; Octodon
Odobenus_rosmarus,HLodoRos1,Odobenus_rosmarus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Odobenidae; Odobenus
Odocoileus_virginianus,HLodoVir2,Odocoileus_virginianus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus
Odocoileus_virginianus,HLodoVir3,Odocoileus_virginianus,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Odocoileus
Okapia_johnstoni,HLokaJoh2,Okapia_johnstoni,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Giraffidae; Okapia
Ondatra_zibethicus,HLondZib1,Ondatra_zibethicus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Arvicolinae; Ondatra
Onychomys_torridus,HLonyTor1,Onychomys_torridus,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Cricetidae; Neotominae; Onychomys
Orcinus_orca,HLorcOrc2,Orcinus_orca,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Orcinus
